Complaint,Category,,,,,
I can't place an order because the storefront is too slow.,Technical Issues,,,,,
The exchange rate conversion for my transaction seems incorrect.,Billing & Transaction Problems,,,,,
"Excuse me, I can't log in because the online shop is too slow.",Technical Issues,,,,,
"Hi, tracking number #992211 is not updating for my order.",Delivery,,,,,
Your terms of service says I have 30 days to exchange this!,Refund & Returns,,,,,
How do I update my marketing mail in my profile?,Account & Profile Management,,,,,
i need a breakdown of the charges on my latest bank statement.,Billing & Transaction Problems,,,,,
internal server system crash is preventing me from finishing my place an order.,Technical Issues,,,,,
the product I got is old and cannot be used.,Product Integrity & Accuracy,,,,,
There is a bug in the application's latest update.,Technical Issues,,,,,
"Hi, Internal server error is preventing me from finishing my view my cart.",Technical Issues,,,,,
I need a breakdown of the fees on my latest billing history!,Billing & Transaction Problems,,,,,
"I'm sorry, but i was billed twice for my recent transaction.",Billing & Transaction Problems,,,,,
"Hello, The membership cost increased without my permission.",Subscriptions,,,,,
can you apply this price reduction manually to my transaction?,Promotions,,,,,
I need a breakdown of the costs on my latest bank statement!,Billing & Transaction Problems,,,,,
i haven't received a receipt for my buy!,Billing & Transaction Problems,,,,,
This promotion is very misleading.,Promotions,,,,,
i haven't received a receipt for my transaction!,Billing & Transaction Problems,,,,,
My promo code is not applying to my order.,Promotions,,,,,
"Hi, There is a technical issue in the mobile app's latest update.",Technical Issues,,,,,
i didn't get the free gift with my transaction.,Promotions,,,,,
"I'm sorry, but there is a glitch in the mobile app's latest update!",Technical Issues,,,,,
The website is not secure and I am worried about my data!,Security and Privacy,,,,,
Can you check stock in the nearby sorting center?,Inventory,,,,,
"I'm sorry, but Can you explain this payment error on my account?",Billing & Transaction Problems,,,,,
I didn't get a alert before my renewal charge.,Subscriptions,,,,,
I want to upgrade my level to the premium level!,Subscriptions,,,,,
I haven't received my money back yet for the shipped back item.,Refund & Returns,,,,,
"Hi, I was charged twice for my recent purchase.",Billing & Transaction Problems,,,,,
i think my membership has been stolen or breached!,Security and Privacy,,,,,
why is my mailing postponed in sorting center?,Delivery,,,,,
How do I link my social media to my account?,Account & Profile Management,,,,,
the subscription price increased without my knowledge!,Subscriptions,,,,,
i need an update on my package transit status!,Delivery,,,,,
can you apply this price reduction manually to my payment?,Promotions,,,,,
The website is not private and I am worried about my data.,Security and Privacy,,,,,
the site keeps crashing whenever I try to view my cart.,Technical Issues,,,,,
i requested a refund a week ago and haven't heard back.,Refund & Returns,,,,,
The site is not private and I am worried about my details.,Security and Privacy,,,,,
"I'm sorry, but when will this article be back in the warehouse?",Inventory,,,,,
"Hi, Why was my personal data shared with a third party without consent?",Security and Privacy,,,,,
this article seems to be a refurbished unit instead of new.,Product Integrity & Accuracy,,,,,
I think my profile has been compromised or breached.,Security and Privacy,,,,,
is this item a limited batch or will more be manufactured?,Inventory,,,,,
"Hi, My transaction was rejected but the money was removed from my bank.",Billing & Transaction Problems,,,,,
"Hi, why is the code code out of date when it should be valid?",Promotions,,,,,
"I'm sorry, but My discount code is not applying to my order.",Promotions,,,,,
I requested a reimbursement a week ago and haven't heard back.,Refund & Returns,,,,,
i didn't get the bonus with my request.,Promotions,,,,,
"Hi, The item was retired right after I ordered it.",Inventory,,,,,
I need to recover my password immediately!,Security and Privacy,,,,,
the build of this product is very poor compared to the description.,Product Integrity & Accuracy,,,,,
this unit seems to be a refurbished unit instead of new.,Product Integrity & Accuracy,,,,,
This article seems to be a used unit instead of new.,Product Integrity & Accuracy,,,,,
Tracking number ID #8822 is not updating for my transaction.,Delivery,,,,,
i want to scale up my level to the pro level!,Subscriptions,,,,,
i didn't get a alert before my extension charge!,Subscriptions,,,,,
the online shop is not secure and I am worried about my data.,Security and Privacy,,,,,
the platform is not displaying thumbnails properly!,Technical Issues,,,,,
I need a return label for my box.,Refund & Returns,,,,,
"Excuse me, why is the availability count count wrong on the screen?",Inventory,,,,,
"Hi, I need a postage label for my parcel.",Refund & Returns,,,,,
"I'm sorry, but i'm getting a 500 error when I click the submit button.",Technical Issues,,,,,
i didn't get the freebie with my transaction!,Promotions,,,,,
"Hi, I want to improve my level to the pro level.",Subscriptions,,,,,
"Hi, I haven't received a receipt for my transaction.",Billing & Transaction Problems,,,,,
"Excuse me, My transaction has been out for delivery for three days now.",Delivery,,,,,
The website crashed while I was trying to pay.,Technical Issues,,,,,
I was notified that the article is missing after I checked out.,Inventory,,,,,
"i haven't received my parcel yet, although the status says delivered.",Delivery,,,,,
i want to use my loyalty points for this order.,Promotions,,,,,
The UI times out every time I refresh it!,Technical Issues,,,,,
my notifs are not saving after I refresh them.,Account & Profile Management,,,,,
the storefront is not secure and I am worried about my details.,Security and Privacy,,,,,
i want to obtain a copy of all the private info you have on me!,Security and Privacy,,,,,
Someone made an unauthorized buy using my profile.,Security and Privacy,,,,,
i want to convert my payment term from recurring to one-year.,Subscriptions,,,,,
The availability status changed from in stock to unavailable suddenly.,Inventory,,,,,
I want to stop my annual subscription.,Subscriptions,,,,,
The item was stopped right after I bought it.,Inventory,,,,,
i need to recover my passcode immediately.,Security and Privacy,,,,,
i can't log in because the online shop is too slow.,Technical Issues,,,,,
"Hello, My notifs are not saving after I update them!",Account & Profile Management,,,,,
internal server error is preventing me from finishing my log in.,Technical Issues,,,,,
i think my account has been compromised or compromised.,Security and Privacy,,,,,
i am unable to access my bag due to a server failure.,Technical Issues,,,,,
My request held up and it hasn't arrived yet.,Delivery,,,,,
My confidentiality settings are not working as expected.,Security and Privacy,,,,,
"I'm sorry, but The online shop is not secure and I am worried about my information!",Security and Privacy,,,,,
Can I change my username on the platform?,Account & Profile Management,,,,,
I was charged twice for my recent order.,Billing & Transaction Problems,,,,,
The software is stuck on the processing screen forever.,Technical Issues,,,,,
"Hi, Why is my shipment held up in local depot?",Delivery,,,,,
"Hi, i need to reset my passcode immediately.",Security and Privacy,,,,,
"Hi, Can I get a money back if the parcel was never sent?",Refund & Returns,,,,,
I haven't received my refund yet for the shipped back item.,Refund & Returns,,,,,
The merchandise I received is broken and non-functional.,Product Integrity & Accuracy,,,,,
"i haven't received my shipment yet, although the tracking status says delivered!",Delivery,,,,,
Where is my parcel? The tracking info says it is local depot!,Delivery,,,,,
"Hi, someone made an unauthorized purchase using my profile.",Security and Privacy,,,,,
The delivery driver lost my package and I need help.,Delivery,,,,,
The online shop says in stock but it's actually on backorder.,Inventory,,,,,
someone made an unauthorized acquisition using my profile.,Security and Privacy,,,,,
the item stopped working after only one day of use.,Product Integrity & Accuracy,,,,,
"I'm sorry, but why was I charged for a service plan I already ended?",Subscriptions,,,,,
why was I charged for a service plan I already ended?,Subscriptions,,,,,
the product is sold out and I need to know when it will be replenished.,Inventory,,,,,
"I'm sorry, but i cannot find where to adjust my personal data!",Account & Profile Management,,,,,
the website says ready but it's actually on backorder.,Inventory,,,,,
"Excuse me, i haven't received a payment proof for my transaction.",Billing & Transaction Problems,,,,,
i cannot find where to edit my personal details.,Account & Profile Management,,,,,
the site is not displaying product photos properly!,Technical Issues,,,,,
your terms of service says I have 30 days to send back this.,Refund & Returns,,,,,
"Excuse me, The daily deal prices are not showing up in my shopping cart.",Promotions,,,,,
"Excuse me, why is my delivery stuck in transit?",Delivery,,,,,
"Excuse me, I think my membership has been stolen or leaked!",Security and Privacy,,,,,
I haven't received my money back yet for the sent back item!,Refund & Returns,,,,,
i see a mystery fee from your site on my bank statement!,Billing & Transaction Problems,,,,,
the application is stuck on the processing screen forever!,Technical Issues,,,,,
the membership price increased without my permission.,Subscriptions,,,,,
The stock level status changed from in stock to unavailable suddenly.,Inventory,,,,,
The status status changed from in stock to gone suddenly.,Inventory,,,,,
part of the set is not in the box from the shipment.,Product Integrity & Accuracy,,,,,
I want to exchange my item for a different size!,Refund & Returns,,,,,
I haven't received a confirmation for my payment!,Billing & Transaction Problems,,,,,
"Hello, how do I link my social media to my membership?",Account & Profile Management,,,,,
"I haven't received my box yet, although the delivery update says delivered!",Delivery,,,,,
the storefront is not displaying thumbnails properly!,Technical Issues,,,,,
"Hello, the delivery driver was supposed to deliver my order yesterday but it's late.",Delivery,,,,,
Tracking number #992211 is not updating for my order.,Delivery,,,,,
I signed up for the welcome gift but never received it!,Promotions,,,,,
I didn't get the free gift with my order.,Promotions,,,,,
can you apply this discount manually to my payment?,Promotions,,,,,
"Excuse me, how do I link my Facebook to my membership?",Account & Profile Management,,,,,
I want to upgrade my tier to the premium level.,Subscriptions,,,,,
"I'm sorry, but My settings are not saving after I update them!",Account & Profile Management,,,,,
your refund policy says I have 30 days to send back this.,Refund & Returns,,,,,
I think my profile has been compromised or compromised.,Security and Privacy,,,,,
Is this unit a limited version or will more be made?,Inventory,,,,,
the delivery driver lost my shipment and I need help.,Delivery,,,,,
The product I received is broken and smashed.,Product Integrity & Accuracy,,,,,
"Hi, my membership features are not working correctly.",Subscriptions,,,,,
I think my account has been stolen or breached.,Security and Privacy,,,,,
"Excuse me, why was my personal data shared with a third party without permission?",Security and Privacy,,,,,
"Hello, the article I got is old and cannot be used.",Product Integrity & Accuracy,,,,,
i want to cancel my recurring subscription.,Subscriptions,,,,,
"Hello, The storefront is not private and I am worried about my details!",Security and Privacy,,,,,
i didn't get the freebie with my order.,Promotions,,,,,
"Hi, Why is the coupon code expired when it should be valid?",Promotions,,,,,
The submit button on the checkout page is not working!,Technical Issues,,,,,
"I'm sorry, but i want to exchange my product for a different size.",Refund & Returns,,,,,
why is the coupon code out of date when it should be valid?,Promotions,,,,,
the status status changed from ready to out of stock suddenly.,Inventory,,,,,
The postal service was supposed to deliver my request yesterday but it's late.,Delivery,,,,,
The site keeps freezing whenever I try to log in!,Technical Issues,,,,,
Someone made an fraudulent purchase using my profile.,Security and Privacy,,,,,
Part of the set is gone from the parcel.,Product Integrity & Accuracy,,,,,
"Excuse me, i need a return slip for my shipment.",Refund & Returns,,,,,
"I'm sorry, but my username is spelled incorrectly on my profile.",Account & Profile Management,,,,,
How do I update my newsletter in my profile?,Account & Profile Management,,,,,
i haven't received a payment proof for my payment.,Billing & Transaction Problems,,,,,
the product was retired right after I purchased it.,Inventory,,,,,
"Hello, Is there a delay with shipping to my area?",Delivery,,,,,
The pay button on the cart page is not working.,Technical Issues,,,,,
i want to switch my billing cycle from annual to yearly.,Subscriptions,,,,,
"Hello, This item seems to be a refurbished unit instead of new.",Product Integrity & Accuracy,,,,,
my automatic payment is turned off but I was still charged!,Subscriptions,,,,,
"I'm sorry, but Can you apply this discount manually to my buy?",Promotions,,,,,
where is my parcel? The tracking link says it is sorting center.,Delivery,,,,,
The site says available but it's actually on pre-order!,Inventory,,,,,
"I'm sorry, but Why is there an extra fee on my bill?",Billing & Transaction Problems,,,,,
"Hello, The invite credit was not added to my account.",Promotions,,,,,
"Excuse me, How do I start a exchange for a good I don't want?",Refund & Returns,,,,,
i want to close my membership permanently.,Account & Profile Management,,,,,
"Hello, the online shop is not encrypted and I am worried about my details!",Security and Privacy,,,,,
the stock level status changed from ready to out of stock suddenly.,Inventory,,,,,
"Hello, The site is not encrypted and I am worried about my details.",Security and Privacy,,,,,
"Excuse me, The storefront is not displaying images properly.",Technical Issues,,,,,
i received the wrong size for the item I ordered.,Product Integrity & Accuracy,,,,,
i can't modify my contact number on the profile settings!,Account & Profile Management,,,,,
i can't view my cart because the online shop is too slow!,Technical Issues,,,,,
the flash sale prices are not showing up in my bag.,Promotions,,,,,
i can't change my mobile on the account settings!,Account & Profile Management,,,,,
"I'm sorry, but My debit card was charged the wrong amount.",Billing & Transaction Problems,,,,,
where is my box? The delivery tracking says it is warehouse!,Delivery,,,,,
Why was I invoiced for a service plan I already ended?,Subscriptions,,,,,
"I'm sorry, but the item is out of stock and I need to know when it will be back in stock!",Inventory,,,,,
I noticed a login from a warehouse I don't recognize.,Security and Privacy,,,,,
my transaction delayed and it hasn't arrived yet!,Delivery,,,,,
the website keeps freezing whenever I try to view my cart.,Technical Issues,,,,,
i'm getting a connection error when I click the order button.,Technical Issues,,,,,
I want to merge two profiles that I have.,Account & Profile Management,,,,,
my debit card was charged the wrong amount!,Billing & Transaction Problems,,,,,
"Hello, the flash sale prices are not showing up in my basket.",Promotions,,,,,
Internal server failure is preventing me from finishing my view my cart!,Technical Issues,,,,,
My transaction was failed but the money was removed from my bank.,Billing & Transaction Problems,,,,,
Can I get a money back if the parcel was never sent?,Refund & Returns,,,,,
"i haven't received my box yet, although the tracking status says delivered!",Delivery,,,,,
The storefront keeps crashing whenever I try to place an order.,Technical Issues,,,,,
i signed up for the welcome gift but never received it!,Promotions,,,,,
internal server system crash is preventing me from finishing my view my cart.,Technical Issues,,,,,
The courier was supposed to deliver my order yesterday but it's late.,Delivery,,,,,
The money back amount I received is less than what I paid!,Refund & Returns,,,,,
"Hello, Is this item a limited batch or will more be made?",Inventory,,,,,
"I'm sorry, but This offer is very misleading.",Promotions,,,,,
my recurring charge is turned off but I was still billed.,Subscriptions,,,,,
when will this product be back in the stockroom?,Inventory,,,,,
My preferences are not saving after I update them.,Account & Profile Management,,,,,
the online shop keeps bugging out whenever I try to log in.,Technical Issues,,,,,
My order held up and it hasn't arrived yet.,Delivery,,,,,
I want to send back my transaction for a full refund.,Refund & Returns,,,,,
I need a postage label for my shipment.,Refund & Returns,,,,,
the status status changed from ready to gone suddenly!,Inventory,,,,,
i want to send back my purchase for a full money back!,Refund & Returns,,,,,
i want to scale up my tier to the pro level.,Subscriptions,,,,,
"I'm sorry, but The courier was supposed to deliver my order yesterday but it's late.",Delivery,,,,,
I was informed that the product is out of supply after I paid.,Inventory,,,,,
i want to upgrade my level to the pro level.,Subscriptions,,,,,
i didn't get a alert before my extension charge.,Subscriptions,,,,,
my transaction held up and it hasn't arrived yet.,Delivery,,,,,
"Hi, The price at checkout didn't match the price on the product page.",Billing & Transaction Problems,,,,,
the friend link credit was not added to my account.,Promotions,,,,,
internal server error is preventing me from finishing my view my cart.,Technical Issues,,,,,
is there a delay with freight to my area?,Delivery,,,,,
i was charged twice for my recent purchase.,Billing & Transaction Problems,,,,,
The saving promised in the newsletter is not working.,Promotions,,,,,
"Hi, my payment was rejected but the money was deducted from my bank.",Billing & Transaction Problems,,,,,
"Hi, Is there a delay with freight to my area?",Delivery,,,,,
Tracking number #992211 is not updating for my request!,Delivery,,,,,
"Excuse me, my service plan features are not working correctly.",Subscriptions,,,,,
"I'm sorry, but i see a mystery fee from your site on my bank statement.",Billing & Transaction Problems,,,,,
"Hello, when will this article be back in the warehouse?",Inventory,,,,,
I opened the box and the unit was missing.,Product Integrity & Accuracy,,,,,
I want to be notified when this merchandise is in stock again.,Inventory,,,,,
how do I link my Facebook to my profile?,Account & Profile Management,,,,,
I cannot find where to manage my personal details!,Account & Profile Management,,,,,
I want to enable 2FA authentication for better security.,Security and Privacy,,,,,
Internal server error is preventing me from finishing my place an order.,Technical Issues,,,,,
"Hello, The UI times out every time I refresh it.",Technical Issues,,,,,
i was billed twice for my recent order.,Billing & Transaction Problems,,,,,
i want to be alerted when this item is in inventory again.,Inventory,,,,,
The refund amount I received is less than what I paid!,Refund & Returns,,,,,
"i haven't received my shipment yet, although the tracking status says delivered.",Delivery,,,,,
"Excuse me, I can't log in because the storefront is too slow.",Technical Issues,,,,,
the software is stuck on the processing screen forever.,Technical Issues,,,,,
I am unable to access my basket due to a server error.,Technical Issues,,,,,
there is a technical issue in the mobile app's latest update.,Technical Issues,,,,,
"I'm sorry, but i am unable to access my bag due to a server system crash.",Technical Issues,,,,,
"I'm sorry, but i haven't received my money back yet for the sent back item.",Refund & Returns,,,,,
"I'm sorry, but can you apply this discount manually to my transaction?",Promotions,,,,,
Why is my mailing postponed in warehouse?,Delivery,,,,,
how do I start a send back for a item I don't want?,Refund & Returns,,,,,
the item I received is damaged and non-functional.,Product Integrity & Accuracy,,,,,
"I'm sorry, but The daily deal prices are not showing up in my bag!",Promotions,,,,,
"I'm sorry, but the cost at checkout didn't match the cost on the product page!",Billing & Transaction Problems,,,,,
Is there a delay with shipping to my area?,Delivery,,,,,
"Excuse me, i requested a refund a week ago and haven't heard back.",Refund & Returns,,,,,
i keep getting suspicious emails claiming to be from you.,Security and Privacy,,,,,
I was billed twice for my recent purchase.,Billing & Transaction Problems,,,,,
"Hi, the item was stopped right after I bought it.",Inventory,,,,,
i can't update my contact number on the profile settings.,Account & Profile Management,,,,,
"Excuse me, Tracking number track-990 is not updating for my purchase.",Delivery,,,,,
i need an update on my box transit status.,Delivery,,,,,
"the return process is too complicated, I need assistance.",Refund & Returns,,,,,
"Excuse me, How do I start a return for a good I don't want?",Refund & Returns,,,,,
I want to enable multi-factor authentication for better safety!,Security and Privacy,,,,,
i was invoiced twice for my recent transaction.,Billing & Transaction Problems,,,,,
"I'm sorry, but The application is stuck on the loading screen forever.",Technical Issues,,,,,
how do I link my Google to my profile?,Account & Profile Management,,,,,
I want to enable two-factor authentication for better security.,Security and Privacy,,,,,
"Hi, My membership benefits are not working correctly.",Subscriptions,,,,,
i was charged twice for my recent transaction.,Billing & Transaction Problems,,,,,
I was informed that the product is missing after I completed payment.,Inventory,,,,,
Why is my delivery delayed in warehouse?,Delivery,,,,,
my checkout was rejected but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
"Excuse me, why is my delivery delayed in sorting center?",Delivery,,,,,
I want to exchange my merchandise for a different size!,Refund & Returns,,,,,
"I'm sorry, but the website is not encrypted and I am worried about my details.",Security and Privacy,,,,,
is this article a limited edition or will more be made?,Inventory,,,,,
why is my shipment postponed in warehouse?,Delivery,,,,,
i want to exchange my item for a different size!,Refund & Returns,,,,,
"Hi, The exchange rate conversion for my payment seems incorrect.",Billing & Transaction Problems,,,,,
"Hello, my transaction has been out for delivery for three days now.",Delivery,,,,,
I want to send back my request for a full refund.,Refund & Returns,,,,,
"Hello, The courier lost my box and I need help.",Delivery,,,,,
I need an update on my shipment transit status!,Delivery,,,,,
When will this unit be back in the stockroom?,Inventory,,,,,
The merchandise looks nothing like the advertised image on the website.,Product Integrity & Accuracy,,,,,
How do I suspend my account for a few months?,Subscriptions,,,,,
this promotion is very misleading.,Promotions,,,,,
I received an invoice issue notification via email.,Delivery,,,,,
I need a return label for my package!,Refund & Returns,,,,,
how do I start a return for a item I don't want?,Refund & Returns,,,,,
i am unable to access my shopping cart due to a server failure.,Technical Issues,,,,,
The online shop keeps freezing whenever I try to view my cart.,Technical Issues,,,,,
"Excuse me, I think my membership has been stolen or compromised!",Security and Privacy,,,,,
why was my private info shared with a third party without permission?,Security and Privacy,,,,,
The item I received is cracked and shattered.,Product Integrity & Accuracy,,,,,
i need to change my passcode immediately!,Security and Privacy,,,,,
The forex conversion for my transaction seems incorrect!,Billing & Transaction Problems,,,,,
The good I received is damaged and non-functional.,Product Integrity & Accuracy,,,,,
my service plan benefits are not working correctly.,Subscriptions,,,,,
the status status changed from available to unavailable suddenly.,Inventory,,,,,
"Hello, The price reduction promised in the email is not working.",Promotions,,,,,
the stock level status changed from available to out of stock suddenly.,Inventory,,,,,
internal server failure is preventing me from finishing my view my cart.,Technical Issues,,,,,
part of the set is not in the box from the box!,Product Integrity & Accuracy,,,,,
i haven't received my reimbursement yet for the returned item!,Refund & Returns,,,,,
I opened the packaging and the product was not in the box!,Product Integrity & Accuracy,,,,,
The product was discontinued right after I bought it!,Inventory,,,,,
"Hi, I received the wrong size for the product I ordered.",Product Integrity & Accuracy,,,,,
"i haven't received my parcel yet, although the delivery update says delivered.",Delivery,,,,,
why was my personal data shared with a third party without permission?,Security and Privacy,,,,,
I didn't get the bonus with my purchase.,Promotions,,,,,
i keep getting scammy emails claiming to be from you.,Security and Privacy,,,,,
I need a breakdown of the charges on my latest account statement.,Billing & Transaction Problems,,,,,
my order has been out for delivery for three days now!,Delivery,,,,,
the merchandise I received is cracked and shattered.,Product Integrity & Accuracy,,,,,
"Excuse me, the site is not displaying thumbnails properly.",Technical Issues,,,,,
Can I change my handle on the system?,Account & Profile Management,,,,,
the article I got is expired and cannot be used.,Product Integrity & Accuracy,,,,,
"Hello, The price at checkout didn't match the price on the product page!",Billing & Transaction Problems,,,,,
the good was stopped right after I bought it.,Inventory,,,,,
"Hi, i want to convert my frequency from monthly to annual.",Subscriptions,,,,,
Why is there an extra surcharge on my bill?,Billing & Transaction Problems,,,,,
I need to change my credentials immediately.,Security and Privacy,,,,,
The daily deal prices are not showing up in my bag.,Promotions,,,,,
"I'm sorry, but the limited offer prices are not showing up in my basket.",Promotions,,,,,
Can I get a money back if the package was never sent?,Refund & Returns,,,,,
My subscription benefits are not working correctly.,Subscriptions,,,,,
"The send back process is too complicated, I need assistance!",Refund & Returns,,,,,
how do I hold my access for a few months?,Subscriptions,,,,,
"I'm sorry, but the postal service lost my package and I need help.",Delivery,,,,,
The page times out every time I refresh it!,Technical Issues,,,,,
when will this product be back in the warehouse?,Inventory,,,,,
I need a return label for my parcel.,Refund & Returns,,,,,
I want to be notified when this good is in inventory again.,Inventory,,,,,
can I get a reimbursement if the package was never sent?,Refund & Returns,,,,,
i haven't received a confirmation for my buy.,Billing & Transaction Problems,,,,,
The software is stuck on the loading screen forever.,Technical Issues,,,,,
i see a unknown deduction from your site on my bank statement!,Billing & Transaction Problems,,,,,
I haven't received a payment proof for my payment.,Billing & Transaction Problems,,,,,
"Hello, Can I get a trial for your service?",Subscriptions,,,,,
"I'm sorry, but your terms of service says I have 30 days to return this.",Refund & Returns,,,,,
"Excuse me, can I get a trial for your platform?",Subscriptions,,,,,
"Hi, how do I start a return for a good I don't want?",Refund & Returns,,,,,
I signed up for the signup bonus but never received it.,Promotions,,,,,
Why is my mailing postponed in local depot?,Delivery,,,,,
how do I link my social media to my account?,Account & Profile Management,,,,,
"Hello, i want to remove my account permanently.",Account & Profile Management,,,,,
i requested a money back a week ago and haven't heard back!,Refund & Returns,,,,,
"I'm sorry, but I want to scale up my plan to the pro level.",Subscriptions,,,,,
"I'm sorry, but the good was retired right after I bought it.",Inventory,,,,,
My debit card was charged the wrong amount!,Billing & Transaction Problems,,,,,
"Excuse me, i want to switch my billing cycle from recurring to yearly.",Subscriptions,,,,,
The unit I got is old and cannot be used.,Product Integrity & Accuracy,,,,,
I noticed a sign-in from a sorting center I don't recognize.,Security and Privacy,,,,,
Where is my shipment? The tracking link says it is warehouse.,Delivery,,,,,
Can you check quantity in the different sorting center?,Inventory,,,,,
"I'm sorry, but I want to improve my plan to the VIP level.",Subscriptions,,,,,
My purchase delayed and it hasn't arrived yet.,Delivery,,,,,
"Excuse me, i want to enable two-factor authentication for better protection.",Security and Privacy,,,,,
i'm getting a 500 error when I click the pay button.,Technical Issues,,,,,
i can't view my cart because the website is too slow.,Technical Issues,,,,,
"I'm sorry, but Can I get a reimbursement if the shipment was never sent?",Refund & Returns,,,,,
"Hi, The good I received is damaged and non-functional.",Product Integrity & Accuracy,,,,,
part of the bundle is gone from the shipment!,Product Integrity & Accuracy,,,,,
Tracking number #992211 is not updating for my purchase!,Delivery,,,,,
The merchandise I received is cracked and smashed!,Product Integrity & Accuracy,,,,,
I didn't get a alert before my extension charge!,Subscriptions,,,,,
"Excuse me, how do I edit my email in my profile?",Account & Profile Management,,,,,
The submit button on the cart page is not working!,Technical Issues,,,,,
"Hi, Internal server system crash is preventing me from finishing my log in.",Technical Issues,,,,,
I want to end my monthly service plan.,Subscriptions,,,,,
i think my profile has been hacked or compromised.,Security and Privacy,,,,,
"Excuse me, i didn't get the free gift with my transaction.",Promotions,,,,,
"Excuse me, can you explain this payment error on my account?",Billing & Transaction Problems,,,,,
i want to send back my purchase for a full refund.,Refund & Returns,,,,,
why was I charged for a membership I already terminated?,Subscriptions,,,,,
"Hi, my membership perks are not working correctly!",Subscriptions,,,,,
when will this article be back in the fulfillment center?,Inventory,,,,,
Why is my shipment stuck in sorting center?,Delivery,,,,,
I haven't received my refund yet for the shipped back item!,Refund & Returns,,,,,
I was invoiced twice for my recent request.,Billing & Transaction Problems,,,,,
How do I edit my email in my profile?,Account & Profile Management,,,,,
The site is not displaying thumbnails properly.,Technical Issues,,,,,
The UI times out every time I refresh it.,Technical Issues,,,,,
Is this item a limited version or will more be manufactured?,Inventory,,,,,
i need an update on my package transit status.,Delivery,,,,,
I am unable to access my shopping cart due to a server system crash!,Technical Issues,,,,,
"Hi, The delivery driver lost my box and I need help.",Delivery,,,,,
The forex conversion for my payment seems incorrect.,Billing & Transaction Problems,,,,,
the application is stuck on the processing screen forever.,Technical Issues,,,,,
"Hi, Can you apply this discount manually to my buy?",Promotions,,,,,
why is there an extra surcharge on my invoice?,Billing & Transaction Problems,,,,,
Internal server system crash is preventing me from finishing my log in!,Technical Issues,,,,,
the site keeps crashing whenever I try to log in.,Technical Issues,,,,,
Can I change my login ID on the system?,Account & Profile Management,,,,,
"Hi, the refund amount I received is less than what I paid.",Refund & Returns,,,,,
"Hi, i want to be alerted when this merchandise is in stock again!",Inventory,,,,,
why is the availability count count wrong on the UI?,Inventory,,,,,
"Excuse me, my recurring charge is turned off but I was still invoiced.",Subscriptions,,,,,
The forex conversion for my checkout seems incorrect.,Billing & Transaction Problems,,,,,
how do I link my Google to my account?,Account & Profile Management,,,,,
"Hello, I see a unknown deduction from your site on my bank statement.",Billing & Transaction Problems,,,,,
i want to exchange my merchandise for a different size!,Refund & Returns,,,,,
"Hello, i keep getting weird emails claiming to be from you!",Security and Privacy,,,,,
"Hi, I want to enable multi-factor authentication for better protection.",Security and Privacy,,,,,
"Hi, can you explain this account charges error on my account?",Billing & Transaction Problems,,,,,
my promo code is not applying to my transaction.,Promotions,,,,,
"Excuse me, The storefront keeps freezing whenever I try to view my cart.",Technical Issues,,,,,
"Hi, I see a unknown deduction from your site on my bank statement.",Billing & Transaction Problems,,,,,
My request delayed and it hasn't arrived yet.,Delivery,,,,,
"Hi, The site says ready but it's actually on backorder.",Inventory,,,,,
my transaction was failed but the money was removed from my bank.,Billing & Transaction Problems,,,,,
I want to end my recurring service plan!,Subscriptions,,,,,
"I'm sorry, but How do I link my Google to my profile?",Account & Profile Management,,,,,
can you check stock in the nearby warehouse?,Inventory,,,,,
i want to send back my transaction for a full refund.,Refund & Returns,,,,,
I can't modify my contact number on the account settings.,Account & Profile Management,,,,,
"Hello, The product I got is out of date and cannot be used.",Product Integrity & Accuracy,,,,,
"I'm sorry, but i haven't received my package yet, although the status says delivered.",Delivery,,,,,
The postal service was supposed to deliver my purchase yesterday but it's late.,Delivery,,,,,
The cost at checkout didn't match the cost on the product page.,Billing & Transaction Problems,,,,,
Where is my package? The tracking link says it is transit.,Delivery,,,,,
My purchase stuck and it hasn't arrived yet.,Delivery,,,,,
I want to return my transaction for a full reimbursement!,Refund & Returns,,,,,
"Excuse me, I want to enable multi-factor authentication for better security.",Security and Privacy,,,,,
is this unit a limited version or will more be produced?,Inventory,,,,,
The refund amount I received is less than what I paid.,Refund & Returns,,,,,
why is there an extra fee on my bill?,Billing & Transaction Problems,,,,,
"Hello, I want to delete my membership permanently.",Account & Profile Management,,,,,
i want to obtain a copy of all the personal data you have on me.,Security and Privacy,,,,,
"Hello, Is there a delay with delivery to my area?",Delivery,,,,,
I opened the box and the article was missing.,Product Integrity & Accuracy,,,,,
"The return process is too complicated, I need assistance!",Refund & Returns,,,,,
"Excuse me, your terms of service says I have 30 days to return this!",Refund & Returns,,,,,
The item I received is damaged and smashed!,Product Integrity & Accuracy,,,,,
i requested a reimbursement a week ago and haven't heard back.,Refund & Returns,,,,,
when will this unit be back in the fulfillment center?,Inventory,,,,,
the pay button on the checkout page is not working.,Technical Issues,,,,,
The electronics I bought won't turn on.,Product Integrity & Accuracy,,,,,
where is my box? The tracking info says it is local depot.,Delivery,,,,,
My checkout was declined but the money was removed from my bank!,Billing & Transaction Problems,,,,,
i want to cancel my annual membership.,Subscriptions,,,,,
