Complaint,Category,Urgency,target
Tracking shows 'delivered to neighbor' but no neighbor has it,Order Tracking,High,Order Tracking | High
Package weight in tracking shows zero pounds,Order Tracking,Medium,Order Tracking | Medium
Delivery notification lists wrong carrier,Order Tracking,High,Order Tracking | High
Tracking shows 'exception' but no details provided,Order Tracking,Immediate,Order Tracking | Immediate
Order marked 'shipped' but merchant admits not shipped,Order Tracking,High,Order Tracking | High
Package scanned at facility 500 miles from destination daily,Order Tracking,Medium,Order Tracking | Medium
Tracking shows 'delivery attempted' but no doorbell rang,Order Tracking,High,Order Tracking | High
Delivery date changed after cutoff time passed,Order Tracking,Immediate,Order Tracking | Immediate
Carrier claims 'recipient refused' but no attempt made,Order Tracking,High,Order Tracking | High
Tracking shows 'forwarded' but customer didn't request,Order Tracking,Medium,Order Tracking | Medium
Package scanned as 'sorted' then no updates for 1 week,Order Tracking,High,Order Tracking | High
Delivery timeframe given by customer service was false,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'on vehicle' for 4 consecutive days,Order Tracking,High,Order Tracking | High
Carrier website shows delivery to wrong zip code,Order Tracking,Medium,Order Tracking | Medium
Order status changed to 'delivered' before shipping,Order Tracking,High,Order Tracking | High
Tracking shows 'inbound to customs' for 3 weeks,Order Tracking,Immediate,Order Tracking | Immediate
Delivery notification lists wrong product description,Order Tracking,High,Order Tracking | High
Package shows 'returned to sender' while in transit,Order Tracking,Medium,Order Tracking | Medium
Tracking updates only appear after delivery occurs,Order Tracking,High,Order Tracking | High
Carrier left package in unsecured location despite instructions,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'delivered' but signature doesn't match,Order Tracking,High,Order Tracking | High
Delivery exception for 'animal interference' in high-rise building,Order Tracking,Medium,Order Tracking | Medium
Package scanned at origin facility then no updates,Order Tracking,High,Order Tracking | High
Order status says 'shipped' but merchant can't provide tracking,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'delivered to dock' at residential address,Order Tracking,High,Order Tracking | High
Carrier marked 'delivery attempted' during known absence,Order Tracking,Medium,Order Tracking | Medium
Package shows 'out for delivery' in wrong state,Order Tracking,High,Order Tracking | High
Delivery notification lists incorrect recipient name,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'held for future delivery date' without request,Order Tracking,High,Order Tracking | High
Carrier claims 'secure location' but package was stolen,Order Tracking,Medium,Order Tracking | Medium
Package scanned as 'loaded on wrong truck' repeatedly,Order Tracking,High,Order Tracking | High
Order status changed to 'lost' after delivery timeframe,Order Tracking,Immediate,Order Tracking | Immediate
Tracking shows 'delivered to parcel room' but none exists,Order Tracking,High,Order Tracking | High
Delivery exception for 'missing apartment number' when provided,Order Tracking,Medium,Order Tracking | Medium
Package shows 'in transit' while return refund processed,Order Tracking,High,Order Tracking | High
Tracking updates show impossible location jumps,Order Tracking,Immediate,Order Tracking | Immediate
Carrier marked 'delivered to receptionist' at home address,Order Tracking,High,Order Tracking | High
Order status says 'delivered' but weight shows empty package,Order Tracking,Medium,Order Tracking | Medium
Tracking shows 'available for pickup' at wrong location,Order Tracking,High,Order Tracking | High
Delivery notification came before shipping confirmation,Order Tracking,Immediate,Order Tracking | Immediate
Package scanned 'left at front desk' but no desk exists,Order Tracking,High,Order Tracking | High
Carrier claims 'delivered to household member' but lives alone,Order Tracking,Medium,Order Tracking | Medium
Tracking shows 'on hold' but no reason given,Order Tracking,High,Order Tracking | High
Order status says 'shipped' but carrier has no record,Order Tracking,Immediate,Order Tracking | Immediate
Subscription auto-renewed after cancellation,Subscriptions,Immediate,Subscriptions | Immediate
Free trial converted to paid without warning,Subscriptions,High,Subscriptions | High
Can't find cancellation option in account,Subscriptions,Medium,Subscriptions | Medium
Charged annual rate when monthly was selected,Subscriptions,Immediate,Subscriptions | Immediate
Renewal price increased without notification,Subscriptions,High,Subscriptions | High
Subscription renewed 3 days before expiration,Subscriptions,Medium,Subscriptions | Medium
Canceled but still have access to service,Subscriptions,High,Subscriptions | High
Account shows 'active' after cancellation,Subscriptions,Immediate,Subscriptions | Immediate
Charged during cooling-off period,Subscriptions,High,Subscriptions | High
Auto-renewal toggle resets itself,Subscriptions,Medium,Subscriptions | Medium
Subscription renewed while paused,Subscriptions,High,Subscriptions | High
Payment failed but service wasn't suspended,Subscriptions,Medium,Subscriptions | Medium
Charged for premium tier after downgrade,Subscriptions,Immediate,Subscriptions | Immediate
Cancelation requires phone call only,Subscriptions,High,Subscriptions | High
Auto-renewal terms changed without notice,Subscriptions,Medium,Subscriptions | Medium
Subscription renewed after refund request,Subscriptions,High,Subscriptions | High
Free trial required credit card upfront,Subscriptions,Immediate,Subscriptions | Immediate
Charged before free trial ended,Subscriptions,High,Subscriptions | High
Cancelation page gives 404 error,Subscriptions,Medium,Subscriptions | Medium
Renewal receipt sent to wrong email,Subscriptions,High,Subscriptions | High
Subscription renewed with expired card,Subscriptions,Immediate,Subscriptions | Immediate
Account says 'canceled' but still charged,Subscriptions,High,Subscriptions | High
Auto-renewal date changes automatically,Subscriptions,Medium,Subscriptions | Medium
Charged annual when canceling monthly,Subscriptions,High,Subscriptions | High
Trial period shortened without notice,Subscriptions,Immediate,Subscriptions | Immediate
Subscription restarted after 6 months,Subscriptions,High,Subscriptions | High
Cancelation requires submitting ID,Subscriptions,Medium,Subscriptions | Medium
Auto-renewal turned back on after update,Subscriptions,High,Subscriptions | High
Charged during grace period,Subscriptions,Immediate,Subscriptions | Immediate
Free trial counted as first payment,Subscriptions,High,Subscriptions | High
Subscription renewed after chargeback,Subscriptions,Medium,Subscriptions | Medium
Cancelation button hidden in settings,Subscriptions,High,Subscriptions | High
Auto-renewal receipt has no opt-out,Subscriptions,Immediate,Subscriptions | Immediate
Charged full price after discount period,Subscriptions,High,Subscriptions | High
Trial auto-converted without reminder,Subscriptions,Medium,Subscriptions | Medium
Subscription renewed after death of user,Subscriptions,High,Subscriptions | High
Cancelation requires mailed letter,Subscriptions,Immediate,Subscriptions | Immediate
Auto-renewal uses different payment method,Subscriptions,High,Subscriptions | High
Charged during account suspension,Subscriptions,Medium,Subscriptions | Medium
Free trial required social media post,Subscriptions,High,Subscriptions | High
Subscription renewed after 3 cancellations,Subscriptions,Immediate,Subscriptions | Immediate
Account shows inactive but still billing,Subscriptions,High,Subscriptions | High
Auto-renewal charges higher than agreed,Subscriptions,Medium,Subscriptions | Medium
Charged before service activation,Subscriptions,High,Subscriptions | High
Cancelation requires in-person visit,Subscriptions,Immediate,Subscriptions | Immediate
Renewal notification sent after charge,Subscriptions,High,Subscriptions | High
Subscription restarted after 1 year,Subscriptions,Medium,Subscriptions | Medium
Auto-renewal terms in hidden FAQ,Subscriptions,High,Subscriptions | High
Charged for add-on never selected,Subscriptions,Immediate,Subscriptions | Immediate
Free trial required survey completion,Subscriptions,High,Subscriptions | High
Subscription renewed during dispute,Subscriptions,Medium,Subscriptions | Medium
Cancelation page asks for feedback first,Subscriptions,High,Subscriptions | High
Auto-renewal uses old card on file,Subscriptions,Immediate,Subscriptions | Immediate
Charged after moving countries,Subscriptions,High,Subscriptions | High
Trial period changed retroactively,Subscriptions,Medium,Subscriptions | Medium
Subscription renewed after bank change,Subscriptions,High,Subscriptions | High
Account cancellation not synced with billing,Subscriptions,Immediate,Subscriptions | Immediate
Auto-renewal charges tax suddenly,Subscriptions,High,Subscriptions | High
Charged during military deployment,Subscriptions,Medium,Subscriptions | Medium
Free trial required friend referral,Subscriptions,High,Subscriptions | High
Subscription renewed after fraud report,Subscriptions,Immediate,Subscriptions | Immediate
Cancelation requires 30-day notice,Subscriptions,High,Subscriptions | High
Auto-renewal uses wrong currency,Subscriptions,Medium,Subscriptions | Medium
Charged during natural disaster,Subscriptions,High,Subscriptions | High
Trial required minimum usage hours,Subscriptions,Immediate,Subscriptions | Immediate
Subscription renewed after bankruptcy,Subscriptions,High,Subscriptions | High
Account shows canceled but keeps billing,Subscriptions,Medium,Subscriptions | Medium
Auto-renewal charges processing fee,Subscriptions,High,Subscriptions | High
Charged during hospital stay,Subscriptions,Immediate,Subscriptions | Immediate
Free trial required app download,Subscriptions,High,Subscriptions | High
Subscription renewed after death,Subscriptions,Medium,Subscriptions | Medium
Cancelation requires notarized form,Subscriptions,High,Subscriptions | High
Auto-renewal terms in image file,Subscriptions,Immediate,Subscriptions | Immediate
Charged during service outage,Subscriptions,High,Subscriptions | High
Trial required credit score check,Subscriptions,Medium,Subscriptions | Medium
Subscription renewed after divorce,Subscriptions,High,Subscriptions | High
Account cancellation requires video call,Subscriptions,Immediate,Subscriptions | Immediate
Auto-renewal charges foreign fee,Subscriptions,High,Subscriptions | High
Charged during declared disability,Subscriptions,Medium,Subscriptions | Medium
Free trial required biometric data,Subscriptions,High,Subscriptions | High
Subscription renewed after FTC complaint,Subscriptions,Immediate,Subscriptions | Immediate
Cancelation page has fake error,Subscriptions,High,Subscriptions | High
Auto-renewal uses dynamic pricing,Subscriptions,Medium,Subscriptions | Medium
Charged during declared bankruptcy,Subscriptions,High,Subscriptions | High
Trial required background check,Subscriptions,Immediate,Subscriptions | Immediate
Subscription renewed after class action,Subscriptions,High,Subscriptions | High
Account shows expired but still bills,Subscriptions,Medium,Subscriptions | Medium
Auto-renewal charges restoration fee,Subscriptions,High,Subscriptions | High
Charged during declared pandemic,Subscriptions,Immediate,Subscriptions | Immediate
Free trial required DNA sample,Subscriptions,High,Subscriptions | High
Subscription renewed after GDPR request,Subscriptions,Medium,Subscriptions | Medium
Cancelation requires minimum age,Subscriptions,High,Subscriptions | High
Auto-renewal uses crypto wallet,Subscriptions,Immediate,Subscriptions | Immediate
Charged during declared emergency,Subscriptions,High,Subscriptions | High
Trial required facial recognition,Subscriptions,Medium,Subscriptions | Medium
Subscription renewed after court order,Subscriptions,High,Subscriptions | High
Account cancellation requires blood test,Subscriptions,Immediate,Subscriptions | Immediate
Cart empties automatically after adding items,Checkout,High,Checkout | High
Payment fails at final step with no error message,Checkout,Immediate,Checkout | Immediate
Items disappear when proceeding to checkout,Checkout,High,Checkout | High
Checkout button becomes unclickable,Checkout,Medium,Checkout | Medium
Shipping options fail to load at checkout,Checkout,High,Checkout | High
Coupon applies but then disappears at payment,Checkout,Medium,Checkout | Medium
Browser crashes when clicking checkout,Checkout,Immediate,Checkout | Immediate
Cart shows wrong currency conversion,Checkout,High,Checkout | High
Quantity changes reset when updating cart,Checkout,Medium,Checkout | Medium
Checkout page displays wrong tax amount,Checkout,High,Checkout | High
Login required error appears for guest checkout,Checkout,Immediate,Checkout | Immediate
Mobile app freezes during address entry,Checkout,High,Checkout | High
Checkout loops back to cart repeatedly,Checkout,Medium,Checkout | Medium
Payment methods fail to load,Checkout,High,Checkout | High
Auto-filled address information gets cleared,Checkout,Immediate,Checkout | Immediate
Checkout progress tracker shows wrong step,Checkout,Medium,Checkout | Medium
Page scrolls to top during credit card entry,Checkout,High,Checkout | High
Multiple identical items get added to cart,Checkout,Medium,Checkout | Medium
Checkout page shows expired security certificate,Checkout,Immediate,Checkout | Immediate
Saved payment methods appear as invalid,Checkout,High,Checkout | High
Checkout calculates wrong shipping timeline,Checkout,Medium,Checkout | Medium
Browser back button breaks checkout flow,Checkout,High,Checkout | High
Gift options disappear at payment step,Checkout,Immediate,Checkout | Immediate
Checkout displays 'invalid field' with no indication,Checkout,High,Checkout | High
Cart totals don't match checkout totals,Checkout,Medium,Checkout | Medium
Checkout page fails in incognito mode,Checkout,High,Checkout | High
Address validation rejects correct addresses,Checkout,Immediate,Checkout | Immediate
Checkout autofills wrong credit card details,Checkout,High,Checkout | High
Page reloads during 3D Secure verification,Checkout,Medium,Checkout | Medium
Checkout shows out-of-stock items as available,Checkout,High,Checkout | High
Express checkout ignores selected options,Checkout,Immediate,Checkout | Immediate
Checkout progress bar gets stuck at 99%,Checkout,High,Checkout | High
Captcha fails to load at payment step,Checkout,Medium,Checkout | Medium
Checkout applies wrong regional pricing,Checkout,High,Checkout | High
Browser warns of insecure form submission,Checkout,Immediate,Checkout | Immediate
Checkout page elements overlap on mobile,Checkout,High,Checkout | High
Saved cart loads wrong item quantities,Checkout,Medium,Checkout | Medium
Checkout shows duplicate payment buttons,Checkout,High,Checkout | High
Tax calculation fails for international orders,Checkout,Immediate,Checkout | Immediate
Checkout autoselects express shipping,Checkout,High,Checkout | High
Credit card fields reject valid numbers,Checkout,Medium,Checkout | Medium
Checkout page timeout too short,Checkout,High,Checkout | High
Browser autofill breaks form validation,Checkout,Immediate,Checkout | Immediate
Checkout shows wrong item thumbnails,Checkout,High,Checkout | High
One-click purchase triggers accidentally,Checkout,Medium,Checkout | Medium
Checkout calculates discounts incorrectly,Checkout,High,Checkout | High
Page crashes when applying gift card,Checkout,Immediate,Checkout | Immediate
Checkout suggests wrong saved addresses,Checkout,High,Checkout | High
CVV field disappears after card number entry,Checkout,Medium,Checkout | Medium
Checkout applies sales tax to exempt items,Checkout,High,Checkout | High
Mobile keyboard covers payment buttons,Checkout,Immediate,Checkout | Immediate
Checkout shows 'processing' indefinitely,Checkout,High,Checkout | High
Cart displays wrong inventory status,Checkout,Medium,Checkout | Medium
Checkout fails when using VPN,Checkout,High,Checkout | High
Address fields rearrange during entry,Checkout,Immediate,Checkout | Immediate
Checkout duplicates line items,Checkout,High,Checkout | High
Payment icons fail to display properly,Checkout,Medium,Checkout | Medium
Checkout shows wrong default country,Checkout,High,Checkout | High
Page jumps during credit card entry,Checkout,Immediate,Checkout | Immediate
Checkout applies wrong membership discount,Checkout,High,Checkout | High
Saved cart shows unavailable items,Checkout,Medium,Checkout | Medium
Checkout fails after password manager autofill,Checkout,High,Checkout | High
Form labels mismatch with input fields,Checkout,Immediate,Checkout | Immediate
Checkout displays cached pricing data,Checkout,High,Checkout | High
Quantity selector breaks at checkout,Checkout,Medium,Checkout | Medium
Checkout shows wrong loyalty points balance,Checkout,High,Checkout | High
Browser warns of mixed content errors,Checkout,Immediate,Checkout | Immediate
Checkout autocompletes wrong CVV,Checkout,High,Checkout | High
Shipping calculator shows impossible dates,Checkout,Medium,Checkout | Medium
Checkout fails when cookies are blocked,Checkout,High,Checkout | High
Credit card type detection fails,Checkout,Immediate,Checkout | Immediate
Checkout displays wrong currency symbol,Checkout,High,Checkout | High
Page elements shift during form entry,Checkout,Medium,Checkout | Medium
Checkout shows expired promotion codes,Checkout,High,Checkout | High
Password requirements hidden until error,Checkout,Immediate,Checkout | Immediate
Checkout applies wrong bulk discount,Checkout,High,Checkout | High
Cart icon shows wrong item count,Checkout,Medium,Checkout | Medium
Checkout fails when adblocker is enabled,Checkout,High,Checkout | High
Form submits before completion,Checkout,Immediate,Checkout | Immediate
Checkout displays wrong product options,Checkout,High,Checkout | High
Mobile number validation rejects valid numbers,Checkout,Medium,Checkout | Medium
Checkout shows wrong estimated delivery,Checkout,High,Checkout | High
Browser back button loses form data,Checkout,Immediate,Checkout | Immediate
Checkout autofills old billing addresses,Checkout,High,Checkout | High
Payment method descriptions get cut off,Checkout,Medium,Checkout | Medium
Checkout fails after browser update,Checkout,High,Checkout | High
Security warnings appear during checkout,Checkout,Immediate,Checkout | Immediate
Checkout shows wrong reward tiers,Checkout,High,Checkout | High
Dropdown menus fail on touch devices,Checkout,Medium,Checkout | Medium
Checkout calculates wrong bundle pricing,Checkout,High,Checkout | High
Page reload loses applied discounts,Checkout,Immediate,Checkout | Immediate
Checkout displays conflicting error messages,Checkout,High,Checkout | High
Form validation triggers too early,Checkout,Medium,Checkout | Medium
Checkout shows wrong subscription terms,Checkout,High,Checkout | High
Credit card scanning feature fails,Checkout,Immediate,Checkout | Immediate
Checkout suggests wrong shipping method,Checkout,High,Checkout | High
Loading spinner never completes,Checkout,Medium,Checkout | Medium
Checkout fails when resuming from sleep,Checkout,High,Checkout | High
Website shows 'in stock' but order canceled for unavailable item,Inventory,High,Inventory | High
Received different color than what was shipped,Inventory,Medium,Inventory | Medium
Backordered item never arrived after 2 months,Inventory,High,Inventory | High
Product page shows 10+ available but can't add to cart,Inventory,Medium,Inventory | Medium
Received refurbished item when new was ordered,Inventory,Immediate,Inventory | Immediate
Warehouse location shows stock but website says sold out,Inventory,High,Inventory | High
Item marked 'low stock' for 6 weeks but never sells out,Inventory,Low,Inventory | Low
Subscription auto-ship failed due to 'out of stock',Inventory,High,Inventory | High
Received wrong size despite order confirmation showing correct,Inventory,Medium,Inventory | Medium
Flash sale item showed available but immediately sold out,Inventory,High,Inventory | High
Pre-order release date pushed back 3 times,Inventory,Medium,Inventory | Medium
Bundle shows available but components are out of stock,Inventory,High,Inventory | High
Website and app show different stock levels,Inventory,Immediate,Inventory | Immediate
Received expired product despite 'fresh stock' promise,Inventory,High,Inventory | High
Item available for pickup but store has none,Inventory,Medium,Inventory | Medium
Limited edition restock notification came after sellout,Inventory,High,Inventory | High
Warehouse lost package but shows as fulfilled,Inventory,Medium,Inventory | Medium
Product discontinued after order placed,Inventory,High,Inventory | High
Received demo/floor model instead of new,Inventory,Immediate,Inventory | Immediate
Multiple warehouses show same item with different availability,Inventory,High,Inventory | High
Website allows backorder but customer service says discontinued,Inventory,Medium,Inventory | Medium
Item shows 'only 1 left' for 48 hours,Inventory,Low,Inventory | Low
Pre-owned item sent without disclosure,Inventory,High,Inventory | High
International version received instead of domestic,Inventory,Medium,Inventory | Medium
Component missing from multi-part product,Inventory,High,Inventory | High
Seasonal item removed before season ended,Inventory,Immediate,Inventory | Immediate
Website shows stock but says unavailable for my region,Inventory,High,Inventory | High
Received older model despite listing showing current,Inventory,Medium,Inventory | Medium
Auto-restock notification never sent,Inventory,High,Inventory | High
Wrong variant shipped (matte instead of glossy),Inventory,Medium,Inventory | Medium
Marketplace seller had fake stock count,Inventory,Immediate,Inventory | Immediate
Item available for purchase but 'production delayed' email after,Inventory,High,Inventory | High
Received wrong language version of product,Inventory,Medium,Inventory | Medium
Website inventory doesn't sync with physical stores,Inventory,High,Inventory | High
Pre-order deposit taken but item never produced,Inventory,Immediate,Inventory | Immediate
Warehouse damage discovered after shipping,Inventory,High,Inventory | High
Received opened/returned item as new,Inventory,Medium,Inventory | Medium
Subscription box missing key advertised item,Inventory,High,Inventory | High
Wrong edition shipped (standard instead of collector's),Inventory,Medium,Inventory | Medium
Website allows purchase of clearly mistagged item,Inventory,Immediate,Inventory | Immediate
Received test product instead of commercial version,Inventory,High,Inventory | High
Item shows in search but 'not carried' on product page,Inventory,Medium,Inventory | Medium
Black Friday doorbuster was never in stock,Inventory,High,Inventory | High
Received regional-locked version without warning,Inventory,Immediate,Inventory | Immediate
Warehouse incorrectly marked item as out of stock,Inventory,High,Inventory | High
Product shows 'available in 3-5 days' for 3 weeks,Inventory,Medium,Inventory | Medium
Wrong packaging (bulk instead of retail),Inventory,High,Inventory | High
Website allows backorder but manufacturer discontinued,Inventory,Medium,Inventory | Medium
Received wrong regional power specifications,Inventory,Immediate,Inventory | Immediate
Item shows 'ships today' but actually backordered,Inventory,High,Inventory | High
Store pickup order canceled after arrival notification,Inventory,Medium,Inventory | Medium
Received incomplete set (3/4 pieces),Inventory,High,Inventory | High
Website shows stock at nearby stores but all show zero,Inventory,Immediate,Inventory | Immediate
Wrong firmware version pre-installed,Inventory,High,Inventory | High
Pre-order delivery date passed without update,Inventory,Medium,Inventory | Medium
Received product with different ingredients than listed,Inventory,High,Inventory | High
Marketplace seller dropshipped from unreliable source,Inventory,Medium,Inventory | Medium
Item shows 'low stock' but identical bundle available,Inventory,Immediate,Inventory | Immediate
Received wrong regional voltage adapter,Inventory,High,Inventory | High
Website shows 'available to ship' but actually made-to-order,Inventory,Medium,Inventory | Medium
Product discontinued during shipping,Inventory,High,Inventory | High
Received wrong regional media format (PAL vs NTSC),Inventory,Medium,Inventory | Medium
Warehouse system shows stock but can't locate item,Inventory,Immediate,Inventory | Immediate
Item shows 'in stock' but requires special order,Inventory,High,Inventory | High
Subscription replacement for damaged item out of stock,Inventory,Medium,Inventory | Medium
Received wrong product generation (v1 instead of v2),Inventory,High,Inventory | High
Website allows purchase of pre-production prototype,Inventory,Medium,Inventory | Medium
Item available in cart but disappears during checkout,Inventory,Immediate,Inventory | Immediate
Received wrong regional safety certification,Inventory,High,Inventory | High
Store claims inventory system error after driving to location,Inventory,Medium,Inventory | Medium
Product shows 'limited stock' at all locations,Inventory,High,Inventory | High
Website lists wrong packaging quantity,Inventory,Medium,Inventory | Medium
Received wrong regional language documentation,Inventory,Immediate,Inventory | Immediate
Warehouse shipped wrong SKU from same product line,Inventory,High,Inventory | High
Item shows 'available soon' for 6+ months,Inventory,Medium,Inventory | Medium
Subscription option disappeared despite 'ongoing availability',Inventory,High,Inventory | High
Received display model with demo firmware,Inventory,Medium,Inventory | Medium
Website shows stock but requires vendor approval,Inventory,Immediate,Inventory | Immediate
Item available for business accounts but not consumers,Inventory,High,Inventory | High
Store inventory doesn't match online reservation system,Inventory,Medium,Inventory | Medium
Received wrong regional power cable,Inventory,High,Inventory | High
Website allows purchase of recalled item,Inventory,Medium,Inventory | Medium
Item shows 'available at all stores' but none have it,Inventory,Immediate,Inventory | Immediate
Received wrong product variant (scent/flavor),Inventory,High,Inventory | High
Warehouse shipped from wrong fulfillment zone,Inventory,Medium,Inventory | Medium
Product shows 'back in stock' but old version,Inventory,High,Inventory | High
Website inventory doesn't account for in-cart items,Inventory,Medium,Inventory | Medium
Received wrong regional warranty card,Inventory,Immediate,Inventory | Immediate
Item shows 'exclusive availability' but widely available,Inventory,High,Inventory | High
Store inventory system shows ghost stock,Inventory,Medium,Inventory | Medium
Received wrong product line (professional vs consumer),Inventory,High,Inventory | High
Website allows purchase of test-listing product,Inventory,Medium,Inventory | Medium
Item shows 'new stock arriving tomorrow' indefinitely,Inventory,Immediate,Inventory | Immediate
Received wrong regional version despite geo-block,Inventory,High,Inventory | High
Warehouse system and physical stock don't match,Inventory,Medium,Inventory | Medium
Product shows 'limited edition' but constantly restocked,Inventory,High,Inventory | High
Website inventory updates lag by 24+ hours,Inventory,Medium,Inventory | Medium
Received wrong product configuration (memory/storage),Inventory,Immediate,Inventory | Immediate
Item shows 'only available in combo' but sold separately,Inventory,High,Inventory | High
Store inventory shows negative quantities,Inventory,Medium,Inventory | Medium
Received wrong regional safety labels,Inventory,High,Inventory | High
Website shows phantom inventory from 3rd party sellers,Inventory,Medium,Inventory | Medium
Item shows 'available' but actually special order,Inventory,Immediate,Inventory | Immediate
Received counterfeit product instead of genuine,Product Quality,Immediate,Product Quality | Immediate
Item arrived with critical safety defect,Product Quality,High,Product Quality | High
Product material completely different from description,Product Quality,Immediate,Product Quality | Immediate
Electronics arrived water damaged,Product Quality,High,Product Quality | High
Clothing sizing wildly inaccurate to measurements,Product Quality,Medium,Product Quality | Medium
Food product contained undeclared allergen,Product Quality,Immediate,Product Quality | Immediate
Luxury item received with obvious used/worn marks,Product Quality,High,Product Quality | High
Product missing essential components,Product Quality,Medium,Product Quality | Medium
Appliance arrived with factory defect preventing use,Product Quality,High,Product Quality | High
Cosmetics caused allergic reaction contrary to claims,Product Quality,Immediate,Product Quality | Immediate
Furniture arrived with structural integrity issues,Product Quality,High,Product Quality | High
Product photos show features that don't exist,Product Quality,Medium,Product Quality | Medium
Device battery life 90% less than advertised,Product Quality,High,Product Quality | High
Received expired medication,Product Quality,Immediate,Product Quality | Immediate
Jewelry stones fell out within days,Product Quality,High,Product Quality | High
Product dimensions incorrect by more than 25%,Product Quality,Medium,Product Quality | Medium
Fabric content label deliberately misleading,Product Quality,High,Product Quality | High
Electronics lack safety certifications claimed,Product Quality,Immediate,Product Quality | Immediate
Toy arrived with choking hazards not disclosed,Product Quality,High,Product Quality | High
Designer item received with poor craftsmanship,Product Quality,Medium,Product Quality | Medium
Product performance significantly below specs,Product Quality,High,Product Quality | High
Food packaging contained foreign object,Product Quality,Immediate,Product Quality | Immediate
Received obvious factory second/defective item,Product Quality,High,Product Quality | High
Product instructions completely inaccurate,Product Quality,Medium,Product Quality | Medium
Device arrived with dangerous electrical fault,Product Quality,High,Product Quality | High
Clothing seams unraveled after first wash,Product Quality,Immediate,Product Quality | Immediate
Product weight substantially less than advertised,Product Quality,High,Product Quality | High
Cosmetics arrived contaminated/moldy,Product Quality,Medium,Product Quality | Medium
Furniture finish completely different from sample,Product Quality,High,Product Quality | High
Equipment lacks basic safety features advertised,Product Quality,Immediate,Product Quality | Immediate
Received product from different brand entirely,Product Quality,High,Product Quality | High
Item arrived with chemical smell/off-gassing,Product Quality,Medium,Product Quality | Medium
Product lifespan 10% of what was guaranteed,Product Quality,High,Product Quality | High
Food product spoiled before expiration date,Product Quality,Immediate,Product Quality | Immediate
Electronics arrived with tampered serial numbers,Product Quality,High,Product Quality | High
Clothing colors drastically different from photos,Product Quality,Medium,Product Quality | Medium
Product packaging falsely claims awards,Product Quality,High,Product Quality | High
Device arrived with critical firmware bugs,Product Quality,Immediate,Product Quality | Immediate
Jewelry plating wore off immediately,Product Quality,High,Product Quality | High
Product arrived with undisclosed refurbished parts,Product Quality,Medium,Product Quality | Medium
Appliance missing required certification marks,Product Quality,High,Product Quality | High
Cosmetics texture completely different from sample,Product Quality,Immediate,Product Quality | Immediate
Furniture arrived with untreated sharp edges,Product Quality,High,Product Quality | High
Product specifications deliberately overstated,Product Quality,Medium,Product Quality | Medium
Toy broke during normal use as intended,Product Quality,High,Product Quality | High
Food product nutritional info inaccurate,Product Quality,Immediate,Product Quality | Immediate
Received product with undisclosed damage,Product Quality,High,Product Quality | High
Device arrived with incompatible regional specs,Product Quality,Medium,Product Quality | Medium
Clothing fabric tore under normal tension,Product Quality,High,Product Quality | High
Product arrived with unauthorized modifications,Product Quality,Immediate,Product Quality | Immediate
Electronics lack ports shown in marketing,Product Quality,High,Product Quality | High
Luxury item materials much cheaper than described,Product Quality,Medium,Product Quality | Medium
Product arrived with mismatched components,Product Quality,High,Product Quality | High
Appliance failed first use contrary to warranty,Product Quality,Immediate,Product Quality | Immediate
Cosmetics caused reaction despite 'hypoallergenic',Product Quality,High,Product Quality | High
Furniture joints failed during assembly,Product Quality,Medium,Product Quality | Medium
Product arrived with undisclosed used parts,Product Quality,High,Product Quality | High
Device performance claims completely false,Product Quality,Immediate,Product Quality | Immediate
Jewelry arrived with undisclosed synthetic stones,Product Quality,High,Product Quality | High
Food product taste/texture nothing like sample,Product Quality,Medium,Product Quality | Medium
Product arrived with safety recall notice,Product Quality,High,Product Quality | High
Electronics ports don't match specifications,Product Quality,Immediate,Product Quality | Immediate
Clothing dye bled excessively during first wash,Product Quality,High,Product Quality | High
Product arrived with wrong firmware region lock,Product Quality,Medium,Product Quality | Medium
Toy paint contained lead above legal limits,Product Quality,High,Product Quality | High
Appliance arrived with factory recall defect,Product Quality,Immediate,Product Quality | Immediate
Cosmetics shade completely mismatched to photo,Product Quality,High,Product Quality | High
Furniture arrived with untreated splinters,Product Quality,Medium,Product Quality | Medium
Product key features don't actually exist,Product Quality,High,Product Quality | High
Device arrived with critical design flaw,Product Quality,Immediate,Product Quality | Immediate
Jewelry clasp broke immediately,Product Quality,High,Product Quality | High
Food product contained insect contamination,Product Quality,Medium,Product Quality | Medium
Product arrived with undisclosed size limitations,Product Quality,High,Product Quality | High
Electronics thermal performance dangerously poor,Product Quality,Immediate,Product Quality | Immediate
Clothing arrived with undisclosed 'irregular' tag,Product Quality,High,Product Quality | High
Product materials degrade abnormally fast,Product Quality,Medium,Product Quality | Medium
Toy included small parts despite 'choking hazard',Product Quality,High,Product Quality | High
Appliance arrived with incompatible power specs,Product Quality,Immediate,Product Quality | Immediate
Cosmetics leaked due to faulty packaging,Product Quality,High,Product Quality | High
Furniture arrived with mismatched finishes,Product Quality,Medium,Product Quality | Medium
Product arrived with undisclosed subscription,Product Quality,High,Product Quality | High
Device lacks basic functions advertised,Product Quality,Immediate,Product Quality | Immediate
