Complaint,Category
Address validation rejects correct addresses,Billing & Transaction Problems
Checkout autofills wrong credit card details,Billing & Transaction Problems
Page reloads during 3D Secure verification,Security and Privacy
Checkout shows out-of-stock items as available,Inventory
Express checkout ignores selected options,Billing & Transaction Problems
Checkout progress bar gets stuck at 99%,Billing & Transaction Problems
Captcha fails to load at payment step,Billing & Transaction Problems
Checkout applies wrong regional pricing,Billing & Transaction Problems
Browser warns of insecure form submission,Billing & Transaction Problems
Checkout page elements overlap on mobile,Billing & Transaction Problems
Saved cart loads wrong item quantities,Billing & Transaction Problems
Checkout shows duplicate payment buttons,Billing & Transaction Problems
Tax calculation fails for international orders,Billing & Transaction Problems
Checkout autoselects express shipping,Billing & Transaction Problems
Credit card fields reject valid numbers,Billing & Transaction Problems
Checkout page timeout too short,Billing & Transaction Problems
Browser autofill breaks form validation,Billing & Transaction Problems
Checkout shows wrong item thumbnails,Billing & Transaction Problems
One-click purchase triggers accidentally,Billing & Transaction Problems
Checkout calculates discounts incorrectly,Promotions
Page crashes when applying gift card,Technical Issues
Checkout suggests wrong saved addresses,Billing & Transaction Problems
CVV field disappears after card number entry,Billing & Transaction Problems
Checkout applies sales tax to exempt items,Billing & Transaction Problems
Mobile keyboard covers payment buttons,Billing & Transaction Problems
Checkout shows 'processing' indefinitely,Billing & Transaction Problems
Cart displays wrong inventory status,Billing & Transaction Problems
Checkout fails when using VPN,Billing & Transaction Problems
Address fields rearrange during entry,Billing & Transaction Problems
Checkout duplicates line items,Billing & Transaction Problems
Payment icons fail to display properly,Billing & Transaction Problems
Checkout shows wrong default country,Billing & Transaction Problems
Page jumps during credit card entry,Billing & Transaction Problems
Checkout applies wrong membership discount,Promotions
Saved cart shows unavailable items,Inventory
Checkout fails after password manager autofill,Security and Privacy
Form labels mismatch with input fields,Billing & Transaction Problems
Checkout displays cached pricing data,Security and Privacy
Quantity selector breaks at checkout,Billing & Transaction Problems
Checkout shows wrong loyalty points balance,Billing & Transaction Problems
Browser warns of mixed content errors,Technical Issues
Checkout autocompletes wrong CVV,Billing & Transaction Problems
Shipping calculator shows impossible dates,Billing & Transaction Problems
Checkout fails when cookies are blocked,Security and Privacy
Credit card type detection fails,Billing & Transaction Problems
Checkout displays wrong currency symbol,Billing & Transaction Problems
Page elements shift during form entry,Billing & Transaction Problems
Checkout shows expired promotion codes,Promotions
Password requirements hidden until error,Security and Privacy
Checkout applies wrong bulk discount,Promotions
Cart icon shows wrong item count,Billing & Transaction Problems
Checkout fails when adblocker is enabled,Billing & Transaction Problems
Form submits before completion,Billing & Transaction Problems
Checkout displays wrong product options,Billing & Transaction Problems
Mobile number validation rejects valid numbers,Billing & Transaction Problems
Checkout shows wrong estimated delivery,Billing & Transaction Problems
Browser back button loses form data,Security and Privacy
Checkout autofills old billing addresses,Billing & Transaction Problems
Payment method descriptions get cut off,Billing & Transaction Problems
Checkout fails after browser update,Billing & Transaction Problems
Security warnings appear during checkout,Security and Privacy
Checkout shows wrong reward tiers,Billing & Transaction Problems
Dropdown menus fail on touch devices,Billing & Transaction Problems
Checkout calculates wrong bundle pricing,Billing & Transaction Problems
Page reload loses applied discounts,Promotions
Checkout displays conflicting error messages,Technical Issues
Form validation triggers too early,Billing & Transaction Problems
Checkout shows wrong subscription terms,Billing & Transaction Problems
Credit card scanning feature fails,Billing & Transaction Problems
Checkout suggests wrong shipping method,Billing & Transaction Problems
Loading spinner never completes,Billing & Transaction Problems
Checkout fails when resuming from sleep,Billing & Transaction Problems
Website shows 'in stock' but order canceled for unavailable item,Inventory
Received different color than what was shipped,Delivery
Backordered item never arrived after 2 months,Delivery
Product page shows 10+ available but can't add to cart,Inventory
Received refurbished item when new was ordered,Inventory
Warehouse location shows stock but website says sold out,Inventory
Item marked 'low stock' for 6 weeks but never sells out,Inventory
Subscription auto-ship failed due to 'out of stock',Inventory
Received wrong size despite order confirmation showing correct,Inventory
Flash sale item showed available but immediately sold out,Inventory
Pre-order release date pushed back 3 times,Inventory
Bundle shows available but components are out of stock,Inventory
Website and app show different stock levels,Inventory
Received expired product despite 'fresh stock' promise,Inventory
Item available for pickup but store has none,Inventory
Limited edition restock notification came after sellout,Inventory
Warehouse lost package but shows as fulfilled,Delivery
Product discontinued after order placed,Inventory
Received demo/floor model instead of new,Inventory
Multiple warehouses show same item with different availability,Inventory
Website allows backorder but customer service says discontinued,Inventory
Item shows 'only 1 left' for 48 hours,Inventory
Pre-owned item sent without disclosure,Inventory
International version received instead of domestic,Inventory
Component missing from multi-part product,Inventory
Seasonal item removed before season ended,Inventory
Website shows stock but says unavailable for my region,Inventory
Received older model despite listing showing current,Inventory
Auto-restock notification never sent,Inventory
Wrong variant shipped (matte instead of glossy),Delivery
Marketplace seller had fake stock count,Inventory
Item available for purchase but 'production delayed' email after,Inventory
Received wrong language version of product,Inventory
Website inventory doesn't sync with physical stores,Inventory
Pre-order deposit taken but item never produced,Inventory
Warehouse damage discovered after shipping,Inventory
Received opened/returned item as new,Refund & Returns
Subscription box missing key advertised item,Inventory
Wrong edition shipped (standard instead of collector's),Delivery
Website allows purchase of clearly mistagged item,Inventory
Received test product instead of commercial version,Inventory
Item shows in search but 'not carried' on product page,Inventory
Black Friday doorbuster was never in stock,Inventory
Received regional-locked version without warning,Inventory
Warehouse incorrectly marked item as out of stock,Inventory
Product shows 'available in 3-5 days' for 3 weeks,Inventory
Wrong packaging (bulk instead of retail),Inventory
Website allows backorder but manufacturer discontinued,Inventory
Received wrong regional power specifications,Inventory
Item shows 'ships today' but actually backordered,Inventory
Store pickup order canceled after arrival notification,Inventory
Received incomplete set (3/4 pieces),Inventory
Website shows stock at nearby stores but all show zero,Inventory
Wrong firmware version pre-installed,Inventory
Pre-order delivery date passed without update,Inventory
Received product with different ingredients than listed,Inventory
Marketplace seller dropshipped from unreliable source,Delivery
Item shows 'low stock' but identical bundle available,Inventory
Received wrong regional voltage adapter,Inventory
Website shows 'available to ship' but actually made-to-order,Inventory
Product discontinued during shipping,Inventory
Received wrong regional media format (PAL vs NTSC),Inventory
Warehouse system shows stock but can't locate item,Inventory
Item shows 'in stock' but requires special order,Inventory
Subscription replacement for damaged item out of stock,Inventory
Received wrong product generation (v1 instead of v2),Inventory
Website allows purchase of pre-production prototype,Inventory
Item available in cart but disappears during checkout,Inventory
Received wrong regional safety certification,Inventory
Store claims inventory system error after driving to location,Technical Issues
Product shows 'limited stock' at all locations,Inventory
Website lists wrong packaging quantity,Inventory
Received wrong regional language documentation,Inventory
Warehouse shipped wrong SKU from same product line,Delivery
Item shows 'available soon' for 6+ months,Inventory
Subscription option disappeared despite 'ongoing availability',Inventory
Received display model with demo firmware,Inventory
Website shows stock but requires vendor approval,Inventory
Item available for business accounts but not consumers,Inventory
Store inventory doesn't match online reservation system,Inventory
Received wrong regional power cable,Inventory
Website allows purchase of recalled item,Inventory
Item shows 'available at all stores' but none have it,Inventory
Received wrong product variant (scent/flavor),Inventory
Warehouse shipped from wrong fulfillment zone,Delivery
Product shows 'back in stock' but old version,Inventory
Website inventory doesn't account for in-cart items,Inventory
Received wrong regional warranty card,Inventory
Item shows 'exclusive availability' but widely available,Inventory
Store inventory system shows ghost stock,Inventory
Received wrong product line (professional vs consumer),Inventory
Website allows purchase of test-listing product,Inventory
Item shows 'new stock arriving tomorrow' indefinitely,Inventory
Received wrong regional version despite geo-block,Inventory
Warehouse system and physical stock don't match,Inventory
Product shows 'limited edition' but constantly restocked,Inventory
Website inventory updates lag by 24+ hours,Inventory
Received wrong product configuration (memory/storage),Inventory
Item shows 'only available in combo' but sold separately,Inventory
Store inventory shows negative quantities,Inventory
Received wrong regional safety labels,Inventory
Website shows phantom inventory from 3rd party sellers,Inventory
Item shows 'available' but actually special order,Inventory
Received counterfeit product instead of genuine,Product Integrity & Accuracy
Item arrived with critical safety defect,Delivery
Product material completely different from description,Product Integrity & Accuracy
Electronics arrived water damaged,Delivery
Clothing sizing wildly inaccurate to measurements,Product Integrity & Accuracy
Food product contained undeclared allergen,Product Integrity & Accuracy
Luxury item received with obvious used/worn marks,Product Integrity & Accuracy
Product missing essential components,Product Integrity & Accuracy
Appliance arrived with factory defect preventing use,Delivery
Cosmetics caused allergic reaction contrary to claims,Product Integrity & Accuracy
Furniture arrived with structural integrity issues,Delivery
Product photos show features that don't exist,Product Integrity & Accuracy
Device battery life 90% less than advertised,Product Integrity & Accuracy
Received expired medication,Product Integrity & Accuracy
Jewelry stones fell out within days,Product Integrity & Accuracy
Product dimensions incorrect by more than 25%,Product Integrity & Accuracy
Fabric content label deliberately misleading,Product Integrity & Accuracy
Electronics lack safety certifications claimed,Product Integrity & Accuracy
Toy arrived with choking hazards not disclosed,Delivery
Designer item received with poor craftsmanship,Product Integrity & Accuracy
Product performance significantly below specs,Product Integrity & Accuracy
Food packaging contained foreign object,Product Integrity & Accuracy
Received obvious factory second/defective item,Product Integrity & Accuracy
Product instructions completely inaccurate,Product Integrity & Accuracy
Device arrived with dangerous electrical fault,Delivery
Clothing seams unraveled after first wash,Product Integrity & Accuracy
Product weight substantially less than advertised,Product Integrity & Accuracy
Cosmetics arrived contaminated/moldy,Delivery
Furniture finish completely different from sample,Product Integrity & Accuracy
Equipment lacks basic safety features advertised,Product Integrity & Accuracy
Received product from different brand entirely,Product Integrity & Accuracy
Item arrived with chemical smell/off-gassing,Delivery
Product lifespan 10% of what was guaranteed,Product Integrity & Accuracy
Food product spoiled before expiration date,Product Integrity & Accuracy
Electronics arrived with tampered serial numbers,Delivery
Clothing colors drastically different from photos,Product Integrity & Accuracy
Product packaging falsely claims awards,Product Integrity & Accuracy
Device arrived with critical firmware bugs,Technical Issues
Jewelry plating wore off immediately,Product Integrity & Accuracy
Product arrived with undisclosed refurbished parts,Delivery
Appliance missing required certification marks,Product Integrity & Accuracy
Cosmetics texture completely different from sample,Product Integrity & Accuracy
Furniture arrived with untreated sharp edges,Delivery
Product specifications deliberately overstated,Product Integrity & Accuracy
Toy broke during normal use as intended,Product Integrity & Accuracy
Food product nutritional info inaccurate,Product Integrity & Accuracy
Received product with undisclosed damage,Product Integrity & Accuracy
Device arrived with incompatible regional specs,Delivery
Clothing fabric tore under normal tension,Product Integrity & Accuracy
Product arrived with unauthorized modifications,Security and Privacy
Electronics lack ports shown in marketing,Product Integrity & Accuracy
Luxury item materials much cheaper than described,Product Integrity & Accuracy
Product arrived with mismatched components,Delivery
Appliance failed first use contrary to warranty,Product Integrity & Accuracy
Cosmetics caused reaction despite 'hypoallergenic',Product Integrity & Accuracy
Furniture joints failed during assembly,Product Integrity & Accuracy
Product arrived with undisclosed used parts,Delivery
Device performance claims completely false,Product Integrity & Accuracy
Jewelry arrived with undisclosed synthetic stones,Delivery
Food product taste/texture nothing like sample,Product Integrity & Accuracy
Product arrived with safety recall notice,Delivery
Electronics ports don't match specifications,Product Integrity & Accuracy
Clothing dye bled excessively during first wash,Product Integrity & Accuracy
Product arrived with wrong firmware region lock,Delivery
Toy paint contained lead above legal limits,Product Integrity & Accuracy
Appliance arrived with factory recall defect,Delivery
Cosmetics shade completely mismatched to photo,Product Integrity & Accuracy
Furniture arrived with untreated splinters,Delivery
Product key features don't actually exist,Product Integrity & Accuracy
Device arrived with critical design flaw,Delivery
Jewelry clasp broke immediately,Product Integrity & Accuracy
Food product contained insect contamination,Product Integrity & Accuracy
Product arrived with undisclosed size limitations,Delivery
Electronics thermal performance dangerously poor,Product Integrity & Accuracy
Clothing arrived with undisclosed 'irregular' tag,Delivery
Product materials degrade abnormally fast,Product Integrity & Accuracy
Toy included small parts despite 'choking hazard',Product Integrity & Accuracy
Appliance arrived with incompatible power specs,Delivery
Cosmetics leaked due to faulty packaging,Product Integrity & Accuracy
Furniture arrived with mismatched finishes,Delivery
Product arrived with undisclosed subscription,Delivery
Device lacks basic functions advertised,Product Integrity & Accuracy
Jewelry arrived with fake hallmark stamps,Delivery
Food product cooking instructions dangerous,Product Integrity & Accuracy
Product arrived with undisclosed DRM,Delivery
Electronics arrived with wrong regional voltage,Delivery
Clothing sizing chart completely inaccurate,Product Integrity & Accuracy
Product arrived with unauthorized third-party parts,Security and Privacy
Toy safety warnings in wrong language,Product Integrity & Accuracy
Appliance arrived with cut power cord,Delivery
Cosmetics arrived with broken safety seal,Delivery
Furniture arrived with structural cracks,Delivery
Product arrived with undisclosed required accessories,Delivery
Device arrived with critical manufacturing defect,Delivery
Jewelry arrived with wrong gemstone cut,Delivery
Food product arrived with compromised packaging,Security and Privacy
Product arrived with undisclosed performance limits,Delivery
Electronics arrived with wrong regional plugs,Delivery
Clothing arrived with undisclosed 'final sale',Delivery
Product materials react dangerously to water,Product Integrity & Accuracy
Toy arrived with sharp protrusions,Delivery
Appliance arrived with factory testing residue,Delivery
Cosmetics arrived with separated ingredients,Delivery
Furniture arrived with incorrect assembly hardware,Delivery
Product arrived with undisclosed account requirement,Delivery
Return label never provided despite policy,Refund & Returns
Refund processed but not received after 30 days,Refund & Returns
Return tracking shows delivered but refund not issued,Refund & Returns
Prepaid return label is invalid at carrier,Refund & Returns
Return initiated but no RMA number provided,Refund & Returns
Return shipping costs deducted without warning,Refund & Returns
Return package refused at warehouse,Refund & Returns
Partial refund issued without explanation,Refund & Returns
Return label charges unexpected customs fees,Refund & Returns
Return status shows 'processing' indefinitely,Refund & Returns
Refund amount differs from return receipt,Refund & Returns
Return instructions contradict policy,Refund & Returns
Return label generates error when printing,Technical Issues
Refund delayed for 'additional inspection',Refund & Returns
Return requires original packaging that wasn't kept,Refund & Returns
Return tracking never updates after drop-off,Refund & Returns
Refund processed as store credit without consent,Refund & Returns
Return portal crashes during submission,Technical Issues
Return rejected for missing barcode that was included,Refund & Returns
Refund missing return shipping reimbursement,Refund & Returns
Return label has wrong warehouse address,Refund & Returns
Return status never updates from 'initiated',Refund & Returns
Refund held for undisclosed restocking fee,Refund & Returns
Return requires receipt despite online account,Refund & Returns
Return label expired before use,Refund & Returns
Refund delayed due to 'high return volume',Refund & Returns
Return items lost by carrier but no resolution,Refund & Returns
Refund issued in wrong currency,Refund & Returns
Return requires in-store visit despite online purchase,Refund & Returns
Return label missing from packaging as promised,Refund & Returns
Refund processed before return was received,Refund & Returns
Return rejected for minor box damage,Refund & Returns
Return shipping costs higher than estimated,Refund & Returns
Return portal asks for unreasonable documentation,Refund & Returns
Return label prints with unreadable barcode,Refund & Returns
Refund delayed for 'manual processing',Refund & Returns
Return requires original payment method no longer available,Refund & Returns
Return tracking shows delivered but marked 'not received',Refund & Returns
Refund amount excludes taxes paid,Refund & Returns
Return label has incorrect weight limit,Refund & Returns
Return rejected for being 'too late' despite on time,Refund & Returns
Refund processed to closed bank account,Refund & Returns
Return requires product photos but no option to upload,Refund & Returns
Return label missing return authorization number,Refund & Returns
Refund delayed due to 'account verification',Security and Privacy
Return items damaged in transit due to poor packaging,Refund & Returns
Refund processed as multiple partial payments,Refund & Returns
Return requires unreasonably precise repackaging,Refund & Returns
Return label shipping method slower than promised,Technical Issues
Refund missing loyalty points earned,Refund & Returns
Return rejected for missing tags that were never removed,Refund & Returns
Return portal forces unnecessary exchange first,Refund & Returns
Refund delayed due to 'fraud review',Refund & Returns
Return requires original shipping box that was recycled,Refund & Returns
Return tracking shows exception but no follow-up,Refund & Returns
Refund issued as different payment type,Refund & Returns
Return label has incorrect return address,Refund & Returns
Refund processed before return was inspected,Refund & Returns
Return rejected for 'unauthorized return method',Security and Privacy
Return requires notarized affidavit,Refund & Returns
Refund delayed due to 'system migration',Refund & Returns
Return items lost by warehouse with no compensation,Refund & Returns
Refund missing gift wrapping fees,Refund & Returns
Return label has incorrect weight causing fees,Refund & Returns
Return rejected for 'excessive wear' on defective item,Refund & Returns
Refund processed to wrong customer account,Refund & Returns
Return requires video evidence of packaging,Refund & Returns
Return label charges return shipping despite free returns,Refund & Returns
Refund delayed due to 'third-party seller',Refund & Returns
Return rejected for missing accessories that were included,Refund & Returns
Refund issued before return was approved,Refund & Returns
Return requires original payment card present,Refund & Returns
Return label has incorrect item count,Refund & Returns
Refund processed with undisclosed currency conversion,Refund & Returns
Return rejected for 'resale condition' requirements,Refund & Returns
Return portal doesn't accept international returns,Refund & Returns
Refund delayed due to 'bank processing',Refund & Returns
Return items damaged by warehouse during inspection,Refund & Returns
Refund missing promotional discount amount,Promotions
Return label invalid for international addresses,Refund & Returns
Return rejected for 'missing parts' that weren't included,Refund & Returns
Refund processed after chargeback initiated,Refund & Returns
Return requires original gift receipt unavailable,Refund & Returns
Return label has incorrect declared value,Refund & Returns
Refund delayed due to 'account discrepancy',Refund & Returns
Return rejected for 'unauthorized return reason',Security and Privacy
Refund issued to wrong currency wallet,Refund & Returns
Return requires in-person notary verification,Security and Privacy
Return label has incorrect customs declaration,Refund & Returns
Refund processed with unauthorized deductions,Security and Privacy
Return rejected for 'incomplete form' that was completed,Refund & Returns
Return portal crashes when uploading receipt,Technical Issues
Refund delayed due to 'payment processor error',Technical Issues
Return items lost after warehouse receipt,Refund & Returns
Refund missing original shipping fees,Refund & Returns
Return label has incorrect item description,Refund & Returns
Return rejected for 'policy changed after purchase',Refund & Returns
Refund processed to expired gift card,Refund & Returns
Return requires original packaging destroyed during unboxing,Refund & Returns
Can't login - 'invalid credentials' with correct info,Account & Profile Management
Account locked after one failed attempt,Account & Profile Management
Two-factor authentication codes not arriving,Account & Profile Management
Password reset link expires immediately,Security and Privacy
Account shows someone else's information,Account & Profile Management
Session logs out randomly during use,Account & Profile Management
Email change option doesn't work,Account & Profile Management
Username recovery feature broken,Account & Profile Management
Account created but no verification email,Security and Privacy
Browser autofill breaks login form,Account & Profile Management
CAPTCHA never loads on login page,Account & Profile Management
Account shows purchases I didn't make,Account & Profile Management
Password requirements too restrictive,Security and Privacy
Login works on app but not website,Account & Profile Management
Account merged with stranger's by system error,Technical Issues
Security questions reset themselves,Security and Privacy
Biometric login fails consistently,Account & Profile Management
Account suspended without explanation,Account & Profile Management
Remember me function doesn't work,Account & Profile Management
Password shows 'too common' when unique,Security and Privacy
Account shows wrong membership tier,Account & Profile Management
Login page vulnerable to brute force attacks,Account & Profile Management
Email updates don't confirm old address,Account & Profile Management
Account activity shows unknown devices,Account & Profile Management
Password history prevents reusing old passwords,Security and Privacy
Social media login integration broken,Account & Profile Management
Account deletion option doesn't work,Account & Profile Management
Login attempts from foreign countries ignored,Security and Privacy
Account shows wrong default currency,Account & Profile Management
Security alert emails never arrive,Security and Privacy
Password manager incompatible with login,Security and Privacy
Account recovery asks impossible questions,Account & Profile Management
Login session expires too quickly,Account & Profile Management
Account shows incorrect birth date,Account & Profile Management
Two-step verification can't be disabled,Security and Privacy
Password reset asks for old password,Security and Privacy
Account locked due to 'suspicious activity',Security and Privacy
Login page doesn't support special characters,Account & Profile Management
Account shows wrong preferred language,Account & Profile Management
Security image feature displays wrong image,Security and Privacy
Password change forces unnecessary complexity,Security and Privacy
Account access given to ex-spouse,Account & Profile Management
Login fails when using VPN,Account & Profile Management
Account shows outdated payment methods,Account & Profile Management
Password expiration too frequent,Security and Privacy
Account creation allows obvious fake emails,Account & Profile Management
Login page missing HTTPS encryption,Account & Profile Management
Account shows wrong loyalty points,Account & Profile Management
Security certificate warnings during login,Security and Privacy
Password reset sends plaintext temp password,Security and Privacy
Account displays wrong purchase history,Account & Profile Management
Login attempts don't show IP/location,Security and Privacy
Account settings revert after saving,Account & Profile Management
Password complexity rules hidden until error,Security and Privacy
Account shows incorrect tax information,Account & Profile Management
Login page vulnerable to phishing,Account & Profile Management
Account recovery options outdated,Account & Profile Management
Password sharing allowed between accounts,Security and Privacy
Account shows wrong subscription status,Account & Profile Management
Login timeout too short for complex tasks,Account & Profile Management
Account security audit logs missing,Security and Privacy
Password hints visible to all users,Security and Privacy
Account displays wrong shipping addresses,Account & Profile Management
Login page stores credentials in cache,Account & Profile Management
Account permissions changed without notice,Account & Profile Management
Password reset doesn't verify identity,Security and Privacy
Account shows wrong credit balance,Account & Profile Management
Login attempts from same IP unlimited,Security and Privacy
Account security questions too predictable,Security and Privacy
Password emailed in confirmation message,Security and Privacy
Account shows incorrect privacy settings,Security and Privacy
Login page doesn't time out properly,Account & Profile Management
Account verification too intrusive,Security and Privacy
Password rules differ across platforms,Security and Privacy
Account shows wrong account age,Account & Profile Management
Login page missing brute force protection,Security and Privacy
Account takeover with minimal verification,Security and Privacy
Password recovery exposes username,Security and Privacy
Account displays wrong contact preferences,Account & Profile Management
Login session persists after logout,Account & Profile Management
Account security notifications missing,Security and Privacy
Password change doesn't log out devices,Security and Privacy
Account shows wrong reward tiers,Account & Profile Management
Login page autocomplete not disabled,Account & Profile Management
Account activity logs incomplete,Account & Profile Management
Password reset questions hackable,Security and Privacy
Account shows incorrect VIP status,Account & Profile Management
Login attempts not throttled,Security and Privacy
Account security audit missing,Security and Privacy
Password reuse across services allowed,Security and Privacy
Account displays wrong membership date,Account & Profile Management
Login page vulnerable to XSS attacks,Account & Profile Management
Account permissions too broad,Account & Profile Management
Password complexity not enforced,Security and Privacy
Account shows wrong purchase limits,Account & Profile Management
Login session sharing allowed,Security and Privacy
Account security features outdated,Security and Privacy
Password reset via unverified email,Security and Privacy
Account displays wrong business type,Account & Profile Management
Login page missing security headers,Security and Privacy
Account recovery too easy,Account & Profile Management
Password expiration notices missing,Security and Privacy
Account shows wrong credit tier,Account & Profile Management
Login attempts from Tor allowed,Security and Privacy
Account security questions visible,Security and Privacy
Password history not maintained,Security and Privacy
Coupon code says 'expired' but is still valid,Promotions
Flash sale price disappeared at checkout,Promotions
Discount applied to wrong items in cart,Promotions
Promo email showed wrong discount amount,Promotions
BOGO offer only applied to cheaper item,Promotions
Limited-time sale ended 3 hours early,Promotions
Coupon stackable despite 'one per order' rule,Promotions
Price changed in cart during checkout,Promotions
Exclusive promo code not working for target users,Promotions
Member discount didn't apply automatically,Promotions
Coupon required minimum spend not disclosed,Promotions
Early access sale opened to everyone,Promotions
Bundle discount calculated incorrectly,Promotions
Promo showed '50% off' but only 30% applied,Promotions
Coupon valid only on full-price items (hidden rule),Promotions
Price mistake honored then canceled,Promotions
Birthday coupon never arrived,Promotions
Student discount required unreasonable verification,Security and Privacy
Coupon worked but then order was canceled,Promotions
Price increased right before sale started,Promotions
Promo excluded items shown in ad,Promotions
First-time buyer discount didn't apply,Promotions
Coupon limited to wrong product category,Promotions
Secret sale price visible in cart briefly,Promotions
Reward points discount capped unexpectedly,Promotions
Promo email had broken redemption link,Promotions
Coupon required account creation at checkout,Promotions
Black Friday deal not honored in-store,Promotions
Price glitch showed $1 items,Technical Issues
Military discount required annual reverification,Security and Privacy
Coupon only worked on mobile app (not web),Promotions
Limited stock sale showed available when sold out,Inventory
Promo excluded sizes not mentioned,Promotions
Referral discount didn't apply for both parties,Promotions
Coupon required social media post proof,Promotions
Price match denied for identical item,Promotions
Promo countdown timer reset repeatedly,Promotions
New customer offer available to existing users,Promotions
Coupon terms changed after distribution,Promotions
Sale price showed before login only,Promotions
Bulk discount tiers calculated wrong,Promotions
Promo banner showed expired discount,Promotions
Coupon didn't stack with clearance items,Promotions
Price error blamed on 'system glitch',Technical Issues
Limited edition restock excluded from sale,Inventory
Promo required newsletter signup after purchase,Promotions
Coupon valid only at certain hours (undisclosed),Promotions
Sale extended but prices increased,Promotions
Price showed discount before adding to cart,Promotions
Promo items removed from cart automatically,Promotions
Coupon required minimum quantity not shown,Promotions
Early bird special sold out instantly,Promotions
Discount showed in cart but not checkout,Promotions
Promo excluded payment methods not listed,Promotions
Coupon code case-sensitive without indication,Promotions
Price increased during coupon application,Promotions
Member-only sale leaked to public,Promotions
Promo required survey completion post-purchase,Promotions
Coupon didn't work with gift cards,Promotions
Sale countdown showed wrong timezone,Promotions
Price mistake on multi-pack items,Promotions
Promo items changed after campaign started,Promotions
Coupon required app download to activate,Promotions
Limited-quantity deal showed no limit,Promotions
Discount disappeared when changing quantity,Promotions
Promo credit expired before notification,Promotions
Coupon only for first-time use (undisclosed),Promotions
Price showed after rebate (not instant),Promotions
Secret sale page found via Google search,Promotions
Promo required in-store pickup for online order,Promotions
Coupon valid only for future purchases,Promotions
Sale price showed to some users but not others,Promotions
Price glitch during currency conversion,Technical Issues
Promo items had hidden higher shipping,Promotions
Coupon required minimum spend after tax,Promotions
Limited-time offer timer ran too fast,Promotions
Discount applied then removed post-purchase,Promotions
Promo excluded colors not mentioned,Promotions
Coupon worked only with specific payment,Promotions
Price showed discount from inflated MSRP,Promotions
Early access sale had broken queue system,Promotions
Promo required following social accounts,Promotions
Coupon didn't work on sale items (undisclosed),Promotions
Bulk discount didn't apply automatically,Promotions
Price showed before mandatory fees,Promotions
Promo items had different return policy,Promotions
Coupon required age verification at checkout,Security and Privacy
Sale advertised wrong percentage off,Promotions
Discount code leaked before launch,Promotions
Promo required manual credit after purchase,Promotions
Coupon valid only for certain regions,Promotions
Price showed comparison to wrong product,Promotions
VIP sale allowed non-VIPs to checkout,Promotions
Promo items had no warranty coverage,Promotions
Coupon required minimum account age,Promotions
Sale price showed only after email signup,Promotions
Price error blamed on 'caching issue',Technical Issues
Promo excluded certain configurations,Promotions
Coupon required video testimonial,Promotions
Limited stock showed available at all stores,Inventory
Discount didn't apply to required accessories,Promotions
Promo credit split across future orders,Promotions
Coupon required biometric verification,Security and Privacy
Sale advertised limited colors but all worked,Promotions
Price showed dynamic pricing fluctuations,Promotions
Promo items had different specs,Promotions
Coupon required friend's purchase first,Promotions
Early access sale had broken password system,Security and Privacy
Discount terms changed post-launch,Promotions
Package marked 'delivered' but never arrived,Delivery
Carrier left package in obvious theft location,Delivery
Wrong shipping method used despite selection,Delivery
Address autofill inserted incorrect unit number,Delivery
International shipment stuck in customs,Delivery
Carrier rerouted package to wrong state,Delivery
Signature required but left without signature,Delivery
Address change requested but ignored,Delivery
Package damaged during transit (crushed box),Delivery
Carrier delivered to neighbor without permission,Delivery
Shipping label printed with wrong zip code,Delivery
Express shipping took longer than standard,Delivery
Package left in rain without protection,Security and Privacy
Carrier marked 'delivery attempted' but no notice,Delivery
Address confirmation email had typos,Delivery
Signature confirmation package left unattended,Delivery
International duties higher than calculated,Delivery
Carrier delivered to wrong business hours,Delivery
Shipping weight incorrect causing overcharge,Delivery
Package scanned at wrong facility repeatedly,Delivery
Address autocomplete removed apartment number,Delivery
Carrier left perishables in hot sun,Delivery
Signature forged on delivery confirmation,Delivery
Shipping insurance claim denied unfairly,Delivery
Package dimensions misreported by carrier,Delivery
Carrier refused to climb stairs for delivery,Delivery
Address change option disappeared at checkout,Delivery
Signature required but delivered to wrong person,Delivery
International package returned to sender,Refund & Returns
Carrier left 'fragile' package upside down,Delivery
Shipping cost calculated incorrectly,Delivery
Package marked 'undeliverable' with good address,Delivery
Address verification rejected valid address,Security and Privacy
Carrier delivered to vacant neighboring property,Delivery
Shipping delay due to carrier mis-sort,Delivery
Package lost between carrier facilities,Delivery
Address autofill used outdated information,Delivery
Carrier left package visible from street,Delivery
Shipping label damaged during transit,Delivery
Package delivered to wrong city with similar name,Delivery
Address change deadline passed too quickly,Delivery
Carrier left package at closed business,Delivery
Shipping notification came after delivery,Delivery
Package scanned as delivered one day early,Delivery
Address system doesn't accept special characters,Delivery
Carrier refused to release without ID present,Delivery
Shipping method downgraded without notice,Delivery
Package left with unauthorized building staff,Security and Privacy
Address fields rearranged during checkout,Delivery
Carrier delivered to wrong floor in apartment,Delivery
Shipping cost not shown until final step,Delivery
Package marked 'weather delay' falsely,Delivery
Address auto-correct changed valid input,Delivery
Carrier left package at wrong business entrance,Delivery
Shipping timeline estimates were inaccurate,Delivery
Package shows 'in transit' for 3 weeks,Delivery
Address system rejected PO Box unnecessarily,Delivery
Carrier delivered to wrong unit in complex,Delivery
Shipping restrictions not disclosed upfront,Delivery
Package rerouted to carrier's wrong facility,Delivery
